index,student,state,district_num,formatted_dist_num,abbrev,district,candidate,party,website,twitter_handle,incumbent,age,gender,marital_status,white_non_hispanic,hispanic,black,partisian_lean_pvi,opposed,pct_urban,income,region
0,alex,Alabama,5,5,AL,AL05,Mo Brooks,Republican,https://brooks.house.gov/,RepMoBrooks,T,64.0,M,Married,T,F,F,R+18,T,65.53,51960.0,S
1,alex,Alabama,5,5,AL,AL05,Peter Joffrion,Democratic,https://www.peterjoffrion.com/,peter_joffrion,F,60.0,M,Single,T,F,F,R+18,T,65.53,51960.0,S
2,alex,California,10,10,CA,CA10,Jeff Denham,Republican,https://denham.house.gov/,RepJeffDenham,T,51.0,M,Married,T,F,F,EVEN,T,,80817.0,W
3,alex,California,10,10,CA,CA10,Josh Harder,Democratic,https://www.harderforcongress.com/,joshua_harder,F,30.0,M,Married,T,F,F,EVEN,T,,80817.0,W
4,alex,California,27,27,CA,CA27,Judy Chu,Democratic,https://chu.house.gov/,RepJudyChu,T,65.0,F,Married,F,F,F,D+16,T,,63561.0,W
5,alex,California,27,27,CA,CA27,Bryan Witt,Democratic,http://wittforprogress.com/,wittforprogress,F,,M,Married,T,F,F,D+16,T,,63562.0,W
6,alex,California,38,38,CA,CA38,Ryan Downing,Republican,https://sites.google.com/site/electryandowning/,RyanDowning2018,F,,M,,F,F,T,D+17,T,,59781.0,W
7,alex,California,38,38,CA,CA38,Linda Sánchez,Democratic,https://lindasanchez.house.gov/,RepLindaSanchez,T,49.0,F,Married,F,T,F,D+17,T,,59781.0,W
8,alex,California,42,42,CA,CA42,Ken Calvert,Republican,https://calvert.house.gov/,KenCalvert,T,65.0,M,,T,F,F,R+9,T,,71073.0,W
9,alex,California,42,42,CA,CA42,Julia Peacock,Democratic,http://peacockforcongress.com/,peacock4ca42,F,,F,Married,T,F,F,R+9,T,,71073.0,W
10,alex,Florida,20,20,FL,FL20,Alcee Hastings,Democratic,https://alceehastings.house.gov/,RepHastingsFL,T,82.0,M,Single,F,F,T,D+11,F,99.09,35941.0,S
11,alex,Florida,23,23,FL,FL23,Tim Canova,No Party Affiliation,https://timcanova.com/,Tim_Canova,F,58.0,M,,T,F,F,D+11,T,99.96,50581.0,S
12,alex,Florida,23,23,FL,FL23,Don Endriss,No Party Afiliation,http://www.donendriss.com/,SoFlaDon,F,,M,,T,F,F,D+11,T,99.96,50581.0,S
13,alex,Florida,23,23,FL,FL23,Joseph Kaufman,Republican,https://www.kaufmanforcongress.com/,JoeKaufmanUSA,F,48.0,M,Married,T,F,F,D+11,T,99.96,50581.0,S
14,alex,Florida,23,23,FL,FL23,Debbie Wasserman Schultz,Democratic,https://wassermanschultz.house.gov/,DWStweets,T,52.0,F,Married,T,F,F,D+11,T,99.96,50581.0,S
15,alex,Florida,27,27,FL,FL27,Mayra Joli,No Party Afiliation,https://mayrajoliforcongress.com/,JoliMayra,F,,F,,F,F,T,D+5,T,99.98,38679.0,S
16,alex,Florida,27,27,FL,FL27,Maria Elvira Salazar,Republican,https://mariaelvira.com/,MaElviraSalazar,F,56.0,F,Single,F,T,F,D+5,T,99.98,38679.0,S
17,alex,Florida,27,27,FL,FL27,Donna Shalala,Democratic,https://donnashalala.com/,DonnaShalala,T,77.0,F,,F,T,F,D+5,T,99.98,38679.0,S
18,alex,Georgia,8,8,GA,GA08,Austin Scott,Republican,https://austinscott.house.gov/,AustinScottGA08,T,48.0,M,Married,T,F,F,R+15,F,56.7,,S
19,alex,Georgia,9,9,GA,GA09,Doug Collins,Republican,https://dougcollins.house.gov/,RepDougCollins,T,52.0,M,Married,T,F,F,R+31,T,42.68,41786.0,S
20,alex,Georgia,9,9,GA,GA09,Robin Gilmer,Libertarian,https://www.robingilmer.com/,,F,,F,,T,F,F,R+31,T,42.68,41786.0,S
21,alex,Georgia,9,9,GA,GA09,Josh McCall,Democratic,https://mccallforall.com/,Mccallforall,F,,M,,T,F,F,R+31,T,42.68,41786.0,S
22,alex,Hawaii,1,1,HI,HI01,Zachary Burd,Green,https://www.zachburdlaw.com/,burd_zach,F,,M,Single,T,F,F,D+17,T,99.27,65602.0,W
23,alex,Hawaii,1,1,HI,HI01,Ed Case,Democratic,https://www.edcase.com/,EdCaseHawaii,F,,M,Married,T,F,F,D+17,T,99.27,65602.0,W
24,alex,Hawaii,1,1,HI,HI01,Campbell Cavasso,Republican,https://www.cam4congress.com/,camcavasso,F,,M,Married,T,F,F,D+17,T,99.27,65602.0,W
25,alex,Hawaii,1,1,HI,HI01,Calvin Griffin,Nonpartisan,,,F,,M,,,,,D+17,T,99.27,65602.0,W
26,alex,Hawaii,1,1,HI,HI01,Michelle Tippens,Libertarian,https://www.michelleindahouse.com/,michelletippens,F,,F,Married,T,F,F,D+17,T,99.27,65602.0,W
